Quel est l'effet principal de l'effet de serre sur la surface de la Terre ?,"Il permet à la surface de la Terre de récupérer une partie de l'énergie thermique qu'elle rayonne, contribuant à son réchauffement."
"D'après le schéma du bilan radiatif terrestre, quelle est la puissance du rayonnement solaire incident par unité de surface ?","$342 \, W/m^2$."
"D'après le schéma du bilan radiatif, quelle puissance solaire par unité de surface atteint le sol terrestre ?","$239,4 \, W/m^2$."
"D'après le schéma du bilan radiatif, quelle puissance par unité de surface est émise par l'atmosphère vers le sol (effet de serre) ?","$336,7 \, W/m^2$."
Quelle est la loi de Newton pour le transfert thermique conducto-convectif ?,"Le flux thermique est $\phi = h \cdot S \cdot (T_e - T)$, où $T_e$ est la température extérieure et $T$ celle du système."
"Dans la loi de Newton $\phi = hS(T_e - T)$, que représente $h$ ?",$h$ est le coefficient d'échange convectif en $W \cdot m^{-2} \cdot K^{-1}$.
"Si le flux thermique $\phi$ calculé par la loi de Newton est négatif, que cela signifie-t-il pour le système ?",Cela signifie que le système cède de l'énergie au milieu extérieur.
"Pour un système de masse $m$ et capacité thermique $c$ en contact avec un thermostat à $T_e$, quelle équation différentielle régit sa température $T(t)$ ?","$\frac{dT}{dt} + \frac{1}{\tau} T = \frac{1}{\tau} T_e$, où $\tau = \frac{m \cdot c}{h \cdot S}$."
Que représente le temps caractéristique $\tau = \frac{m \cdot c}{h \cdot S}$ ?,Il représente la durée caractéristique de l'évolution de la température du système vers la température d'équilibre.
Quelle est la solution de l'équation différentielle décrivant l'évolution de la température $T(t)$ d'un corps initialement à $T_0$ placé dans un thermostat à $T_e$ ?,$T(t) = T_e + (T_0 - T_e) \cdot e^{-t/\tau}$.
Quelle température le système atteint-il après un temps très long ($t \to \infty$) lorsqu'il est en contact avec un thermostat à la température $T_e$ ?,Le système atteint la température d'équilibre $T_e$.
Comment définit-on la résistance thermique $R_{th}$ ?,"Elle est définie par la relation $\phi = \frac{\Delta T}{R_{th}}$, où $\Delta T$ est l'écart de température."
"Plus la résistance thermique $R_{th}$ d'un matériau est élevée, plus le flux thermique sera _____.",faible.
La température moyenne à la surface de la Terre est d'environ 15°C. Quelle est la cause principale de cette température par rapport à celle qu'elle aurait sans atmosphère ?,L'effet de serre naturel.
"Selon les sources, l'atmosphère absorbe environ _____ du rayonnement terrestre.",45 %.
